outcome,unit_id,study_label,events,denominator,observed_proportion,exact_ci_low,exact_ci_high
pphn,U_R008,de-Wahl Granelli 2009,6,77,0.07792207792207792,0.029133049304650337,0.16192636236686248
pphn,U_R009,Riede 2010,15,48,0.3125,0.1865962830960124,0.462513578105436
pphn,U_R013,Turska-Kmiec 2012,0,24,0.0,0.0,0.14247359772252563
pphn,U_R017,Jawin 2015,2,13,0.15384615384615385,0.019206671982528477,0.45447105567655766
pphn,U_R018,Ozalkaya 2016,0,5,0.0,0.0,0.5218237501049814
pphn,U_R019,van Niekerk 2016,0,1,0.0,0.0,0.975
pphn,U_R023,El Idrissi Slitine 2020,1,11,0.09090909090909091,0.002298972213814267,0.4127799169883827
pphn,U_R025,Florez-Munoz 2021,1,3,0.3333333333333333,0.008403758659612636,0.9057006759497539
pphn,U_R031,Abu Lehyah 2025,102,712,0.14325842696629212,0.11834411926772283,0.17117028494039618
pphn,U_R036,Arlettaz 2006,5,19,0.2631578947368421,0.09146578490766653,0.5120293453458726
pphn,U_R049,Hamilcikan 2018,0,9,0.0,0.0,0.3362671168799428
pphn,U_R066,Jones 2016,0,21,0.0,0.0,0.16109761521907956
pphn,U_R067,Klausner 2017,0,4,0.0,0.0,0.6023646356164746
pphn,U_R071,Cubells 2018,0,5,0.0,0.0,0.5218237501049814
pphn,U_R089,Johnson 2014,1,1,1.0,0.025,1.0
pphn,U_R093,Cawsey 2016,0,2,0.0,0.0,0.841886116991581
pphn,U_R099,Tekleab 2019,10,56,0.17857142857142858,0.08910095321397705,0.3039716069422428
pphn,U_R100,Cloete 2020,3,45,0.06666666666666667,0.013965097044370543,0.1826844565782268
pphn,U_R108,Shah 2026,2,5,0.4,0.052744950526316906,0.8533672003653268
pphn,U_R109,Murni 2022,0,8,0.0,0.0,0.3694166475528192
pphn,U_R125_ROSARIO_AR,SIBEN Rosario 2020,0,1,0.0,0.0,0.975
pphn,U_NR058,Reddy 2018,0,1,0.0,0.0,0.975
respiratory,U_R008,de-Wahl Granelli 2009,7,77,0.09090909090909091,0.037335894699944264,0.17837855664248323
respiratory,U_R009,Riede 2010,0,48,0.0,0.0,0.07397278534728022
respiratory,U_R013,Turska-Kmiec 2012,3,24,0.125,0.02655931498624894,0.3236113581888329
respiratory,U_R017,Jawin 2015,9,13,0.6923076923076923,0.3857383382492956,0.9090796054279033
respiratory,U_R018,Ozalkaya 2016,1,5,0.2,0.0050507633794680575,0.7164179361180895
respiratory,U_R019,van Niekerk 2016,0,1,0.0,0.0,0.975
respiratory,U_R023,El Idrissi Slitine 2020,0,11,0.0,0.0,0.28491415291815436
respiratory,U_R025,Florez-Munoz 2021,0,3,0.0,0.0,0.7075982261787133
respiratory,U_R031,Abu Lehyah 2025,60,712,0.08426966292134831,0.06492078581509965,0.10714233693936957
respiratory,U_R049,Hamilcikan 2018,2,9,0.2222222222222222,0.028144973477898197,0.600093573716312
respiratory,U_R066,Jones 2016,12,21,0.5714285714285714,0.34020630928027457,0.7818031431148698
respiratory,U_R067,Klausner 2017,0,4,0.0,0.0,0.6023646356164746
respiratory,U_R071,Cubells 2018,0,5,0.0,0.0,0.5218237501049814
respiratory,U_R089,Johnson 2014,0,1,0.0,0.0,0.975
respiratory,U_R093,Cawsey 2016,2,2,1.0,0.15811388300841897,1.0
respiratory,U_R099,Tekleab 2019,0,56,0.0,0.0,0.06375009666236217
respiratory,U_R100,Cloete 2020,27,45,0.6,0.4433135124790022,0.7430241048073687
respiratory,U_R108,Shah 2026,0,5,0.0,0.0,0.5218237501049814
respiratory,U_R109,Murni 2022,0,8,0.0,0.0,0.3694166475528192
respiratory,U_R125_ROSARIO_AR,SIBEN Rosario 2020,1,1,1.0,0.025,1.0
respiratory,U_NR044,Kumar 2017,2,11,0.18181818181818182,0.02283119829995966,0.5177558523601726
respiratory,U_NR058,Reddy 2018,0,1,0.0,0.0,0.975
infection,U_R008,de-Wahl Granelli 2009,10,77,0.12987012987012986,0.06407318345594938,0.2258952022185753
infection,U_R009,Riede 2010,13,48,0.2708333333333333,0.15278186860821652,0.41845636532618863
infection,U_R013,Turska-Kmiec 2012,5,24,0.20833333333333334,0.07131861719805496,0.42151284363725267
infection,U_R017,Jawin 2015,4,13,0.3076923076923077,0.0909203945720966,0.6142616617507044
infection,U_R018,Ozalkaya 2016,0,5,0.0,0.0,0.5218237501049814
infection,U_R019,van Niekerk 2016,1,1,1.0,0.025,1.0
infection,U_R023,El Idrissi Slitine 2020,2,11,0.18181818181818182,0.02283119829995966,0.5177558523601726
infection,U_R025,Florez-Munoz 2021,0,3,0.0,0.0,0.7075982261787133
infection,U_R031,Abu Lehyah 2025,145,712,0.20365168539325842,0.17464716876850628,0.235135342467389
infection,U_R049,Hamilcikan 2018,1,9,0.1111111111111111,0.002809136746599214,0.48249651491733697
infection,U_R066,Jones 2016,10,21,0.47619047619047616,0.25713062640640744,0.7021931612163559
infection,U_R067,Klausner 2017,0,4,0.0,0.0,0.6023646356164746
infection,U_R071,Cubells 2018,2,5,0.4,0.052744950526316906,0.8533672003653268
infection,U_R089,Johnson 2014,0,1,0.0,0.0,0.975
infection,U_R093,Cawsey 2016,0,2,0.0,0.0,0.841886116991581
infection,U_R099,Tekleab 2019,2,56,0.03571428571428571,0.004354812741052646,0.12313180745799579
infection,U_R100,Cloete 2020,16,45,0.35555555555555557,0.21868401073558574,0.5121989948518539
infection,U_R108,Shah 2026,0,5,0.0,0.0,0.5218237501049814
infection,U_R109,Murni 2022,0,8,0.0,0.0,0.3694166475528192
infection,U_R125_ROSARIO_AR,SIBEN Rosario 2020,0,1,0.0,0.0,0.975
