endpoint,omitted_unit,study_label,pooled_probability,tau
strict,U_R006,Meberg 2008,0.1669164527794868,3.602382540215546
strict,U_R008,de-Wahl Granelli 2009,0.1523761676906419,3.5761179062947623
strict,U_R009,Riede 2010,0.21054929580232384,3.066023846381619
strict,U_R010,Ewer 2011,0.1589165066815436,3.6206565219435602
strict,U_R013,Turska-Kmiec 2012,0.20387245399739978,3.1567094219963203
strict,U_R017,Jawin 2015,0.14807912682750513,2.946472772813677
strict,U_R018,Ozalkaya 2016,0.19137054897937725,3.3044113781419004
strict,U_R019,van Niekerk 2016,0.15073451839061192,3.3321696359296227
strict,U_R023,El Idrissi Slitine 2020,0.1527375863999508,3.571277636228634
strict,U_R025,Florez-Munoz 2021,0.16000159813104864,3.5820739824146686
strict,U_R031,Abu Lehyah 2025,0.15642014223646622,3.613616024987002
strict,U_R036,Arlettaz 2006,0.2018033046537238,3.1834206712876902
strict,U_R049,Hamilcikan 2018,0.15780185588593645,3.606414696861399
strict,U_R066,Jones 2016,0.14879335081672804,2.847736140671555
strict,U_R067,Klausner 2017,0.18981377545104589,3.319903839367471
strict,U_R071,Cubells 2018,0.15670016318211832,3.5920770070076222
strict,U_R072,Diller 2018,0.20712155788347364,3.113379863912354
strict,U_R089,Johnson 2014,0.18094717302331775,3.386337808578192
strict,U_R093,Cawsey 2016,0.14864548278648726,3.248417202711534
strict,U_R099,Tekleab 2019,0.15506180459820768,3.6037080722852517
strict,U_R100,Cloete 2020,0.14880560317258418,3.4926549719354916
strict,U_R101,Singh & Chen 2022,0.15407070213041932,3.5970683283758644
strict,U_R108,Shah 2026,0.19137071779268,3.3044127833753083
strict,U_R109,Murni 2022,0.19480537217549823,3.2675379768093644
strict,U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,0.20820263925478877,3.0986085955369065
strict,U_R125_ROSARIO_AR,SIBEN Rosario 2020,0.15073436218314745,3.332170935130395
strict,U_NR044,Kumar 2017,0.15955671649802053,3.6111046277908128
strict,U_NR058,Reddy 2018,0.1809475953572615,3.386337271832527
expanded,U_R006,Meberg 2008,0.7066170681148779,1.1651765175497064
expanded,U_R008,de-Wahl Granelli 2009,0.7015036406602582,1.175399217718668
expanded,U_R009,Riede 2010,0.6945700100677945,1.160135534055283
expanded,U_R010,Ewer 2011,0.7092470364180241,1.064621583878848
expanded,U_R013,Turska-Kmiec 2012,0.7017941579592802,1.169924797956554
expanded,U_R017,Jawin 2015,0.6632457131166978,0.9789331910002056
expanded,U_R018,Ozalkaya 2016,0.6906476065983645,1.1277171573039104
expanded,U_R019,van Niekerk 2016,0.6893210639093632,1.1075444987840708
expanded,U_R023,El Idrissi Slitine 2020,0.6999995550066307,1.1617277515810678
expanded,U_R025,Florez-Munoz 2021,0.7036614006691255,1.1294798897822342
expanded,U_R031,Abu Lehyah 2025,0.7079000764706986,1.1540479989635641
expanded,U_R036,Arlettaz 2006,0.6676975120943338,1.0105418844568748
expanded,U_R049,Hamilcikan 2018,0.702670610195282,1.157746785693723
expanded,U_R066,Jones 2016,0.6530532663190173,0.9119056125079434
expanded,U_R067,Klausner 2017,0.6798645681639462,1.0737461209867285
expanded,U_R071,Cubells 2018,0.6774303660417045,1.0617655689457604
expanded,U_R072,Diller 2018,0.7090547286847606,1.0912130724972586
expanded,U_R089,Johnson 2014,0.6893210026796404,1.1075444358352107
expanded,U_R093,Cawsey 2016,0.6856961162387105,1.0977047412389527
expanded,U_R099,Tekleab 2019,0.7087475366349967,1.129931248692903
expanded,U_R100,Cloete 2020,0.6940619219653508,1.1581852292968249
expanded,U_R101,Singh & Chen 2022,0.7084010787061763,1.1462067545033199
expanded,U_R108,Shah 2026,0.706930688363973,1.0942580462571705
expanded,U_R109,Murni 2022,0.6934450654031955,1.1433278629523365
expanded,U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,0.7073562008858119,1.1510126331990418
expanded,U_R125_ROSARIO_AR,SIBEN Rosario 2020,0.6893210719812497,1.1075444678005764
expanded,U_NR044,Kumar 2017,0.6883373331410371,1.1258726084367503
expanded,U_NR058,Reddy 2018,0.6893210719812497,1.1075444678005764
