unit_id,study_label,endpoint,events,denominator,observed_proportion,exact_ci_low,exact_ci_high
U_R006,Meberg 2008,strict,32,313,0.10223642172523961,0.07098654174056807,0.14125644381386104
U_R006,Meberg 2008,expanded,166,313,0.5303514376996805,0.4734019434217121,0.5867211505201388
U_R008,de-Wahl Granelli 2009,strict,42,77,0.5454545454545454,0.42790492900658467,0.6594015897233974
U_R008,de-Wahl Granelli 2009,expanded,50,77,0.6493506493506493,0.5321532241886502,0.7546775034938195
U_R009,Riede 2010,strict,0,48,0.0,0.0,0.07397278534728022
U_R009,Riede 2010,expanded,36,48,0.75,0.6040406899728821,0.8636277225793995
U_R010,Ewer 2011,strict,46,177,0.2598870056497175,0.19698118078632731,0.33102049837937825
U_R010,Ewer 2011,expanded,54,177,0.3050847457627119,0.23822235028908997,0.37860973073441445
U_R013,Turska-Kmiec 2012,strict,0,24,0.0,0.0,0.14247359772252563
U_R013,Turska-Kmiec 2012,expanded,15,24,0.625,0.405936384007944,0.8120070718039977
U_R017,Jawin 2015,strict,13,13,1.0,0.752947361999529,1.0
U_R017,Jawin 2015,expanded,13,13,1.0,0.752947361999529,1.0
U_R018,Ozalkaya 2016,strict,0,5,0.0,0.0,0.5218237501049814
U_R018,Ozalkaya 2016,expanded,4,5,0.8,0.2835820638819105,0.9949492366205319
U_R019,van Niekerk 2016,strict,1,1,1.0,0.025,1.0
U_R019,van Niekerk 2016,expanded,1,1,1.0,0.025,1.0
U_R023,El Idrissi Slitine 2020,strict,6,11,0.5454545454545454,0.23379359765934518,0.8325119059362929
U_R023,El Idrissi Slitine 2020,expanded,7,11,0.6363636363636364,0.30790471501167715,0.8907365561809019
U_R025,Florez-Munoz 2021,strict,1,3,0.3333333333333333,0.008403758659612636,0.9057006759497539
U_R025,Florez-Munoz 2021,expanded,1,3,0.3333333333333333,0.008403758659612636,0.9057006759497539
U_R031,Abu Lehyah 2025,strict,247,712,0.34691011235955055,0.3119416703281617,0.38315339180555
U_R031,Abu Lehyah 2025,expanded,345,712,0.4845505617977528,0.44726887359350065,0.5219607482954718
U_R036,Arlettaz 2006,strict,0,19,0.0,0.0,0.17646691180696536
U_R036,Arlettaz 2006,expanded,18,19,0.9473684210526315,0.7397193458047858,0.9986683711958205
U_R049,Hamilcikan 2018,strict,3,9,0.3333333333333333,0.07485463141969183,0.7007049437914596
U_R049,Hamilcikan 2018,expanded,5,9,0.5555555555555556,0.21200850677886798,0.8630043377348335
U_R066,Jones 2016,strict,21,21,1.0,0.8389023847809204,1.0
U_R066,Jones 2016,expanded,21,21,1.0,0.8389023847809204,1.0
U_R067,Klausner 2017,strict,0,4,0.0,0.0,0.6023646356164746
U_R067,Klausner 2017,expanded,4,4,1.0,0.3976353643835253,1.0
U_R071,Cubells 2018,strict,2,5,0.4,0.052744950526316906,0.8533672003653268
U_R071,Cubells 2018,expanded,5,5,1.0,0.4781762498950185,1.0
U_R072,Diller 2018,strict,0,34,0.0,0.0,0.10281792425901262
U_R072,Diller 2018,expanded,11,34,0.3235294117647059,0.1738834274939214,0.5052653008985046
U_R089,Johnson 2014,strict,0,1,0.0,0.0,0.975
U_R089,Johnson 2014,expanded,1,1,1.0,0.025,1.0
U_R093,Cawsey 2016,strict,2,2,1.0,0.15811388300841897,1.0
U_R093,Cawsey 2016,expanded,2,2,1.0,0.15811388300841897,1.0
U_R099,Tekleab 2019,strict,23,56,0.4107142857142857,0.2809715243846004,0.5502350825984523
U_R099,Tekleab 2019,expanded,23,56,0.4107142857142857,0.2809715243846004,0.5502350825984523
U_R100,Cloete 2020,strict,34,45,0.7555555555555555,0.6046290712401733,0.871177185396492
U_R100,Cloete 2020,expanded,34,45,0.7555555555555555,0.6046290712401733,0.871177185396492
U_R101,Singh & Chen 2022,strict,161,355,0.4535211267605634,0.4009034341875183,0.5069204221128452
U_R101,Singh & Chen 2022,expanded,163,355,0.4591549295774648,0.40643884438732203,0.5125578549483074
U_R108,Shah 2026,strict,0,5,0.0,0.0,0.5218237501049814
U_R108,Shah 2026,expanded,1,5,0.2,0.0050507633794680575,0.7164179361180895
U_R109,Murni 2022,strict,0,8,0.0,0.0,0.3694166475528192
U_R109,Murni 2022,expanded,6,8,0.75,0.3491442055871758,0.9681459737500557
U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,strict,0,38,0.0,0.0,0.09251276141587829
U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,expanded,18,38,0.47368421052631576,0.3098073016082087,0.6418165637394962
U_R125_ROSARIO_AR,SIBEN Rosario 2020,strict,1,1,1.0,0.025,1.0
U_R125_ROSARIO_AR,SIBEN Rosario 2020,expanded,1,1,1.0,0.025,1.0
U_NR044,Kumar 2017,strict,3,11,0.2727272727272727,0.06021773417290665,0.6097425595724212
U_NR044,Kumar 2017,expanded,9,11,0.8181818181818182,0.4822441476398273,0.9771688017000404
U_NR058,Reddy 2018,strict,0,1,0.0,0.0,0.975
U_NR058,Reddy 2018,expanded,1,1,1.0,0.025,1.0
