unit_id,study_label,country,denominator,timing,setting,altitude,pphn_n,respiratory_n,infection_n,cardiac_non_target_n,pphn_reason,respiratory_reason,infection_reason,cardiac_reason,pphn_status,respiratory_status,infection_status,cardiac_non_target_status,provenance
U_R006,Meberg 2008,Norway,313,EARLY_FIRST_DAY,MULTICENTER_WELL_NEWBORN,NOT_REPORTED,,,,32,pulmonary/other disorders n=134 not decomposed,pulmonary/other disorders n=134 not decomposed,pulmonary/other disorders n=134 not decomposed,32 source CHD participants remain after d-TGA target removal,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,EXACT,PHASE5_EXTRACTION_BLOCK_21 + POST_RERUN_OVERLAY
U_R008,de-Wahl Granelli 2009,Sweden,77,PREDISCHARGE_MIXED,MULTICENTER_WELL_BABY,NOT_REPORTED,6,7,10,22,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_21 + POST_RERUN_OVERLAY
U_R009,Riede 2010,Germany,48,POST_24H,MULTICENTER_WELL_BABY,NOT_REPORTED,15,0,13,8,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_02 + POST_RERUN_OVERLAY
U_R010,Ewer 2011,United Kingdom,177,EARLY_LT24H,WELL_BABY_ASYMPTOMATIC,NOT_REPORTED,,,,14,40 respiratory/infective disorders not decomposed,40 respiratory/infective disorders not decomposed,40 respiratory/infective disorders not decomposed,8 serious + 6 significant non-target CHD after d-TGA target removal,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,NOT_POINT_IDENTIFIABLE,EXACT,PHASE5_EXTRACTION_BLOCK_15 + POST_RERUN_OVERLAY
U_R013,Turska-Kmiec 2012,Poland,24,EARLY_2_24H,MULTICENTER_NEONATAL_UNITS,NOT_REPORTED,0,3,5,11,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_21 + POST_RERUN_OVERLAY
U_R017,Jawin 2015,Malaysia,13,EARLY_LT24H_RAW,WELL_BABY_HOSPITAL,NOT_REPORTED,2,9,4,,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,incidental VSD/PFO/PDA overlaps not participant-count separable,EXACT,EXACT,EXACT,NOT_POINT_IDENTIFIABLE,PHASE5_EXTRACTION_BLOCK_01
U_R018,Ozalkaya 2016,Turkey,5,POST_24H,WELL_BABY_HOSPITAL,NOT_REPORTED,0,1,0,3,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_01 + POST_RERUN_OVERLAY
U_R019,van Niekerk 2016,South Africa,1,POST24H_PREDOMINANT_RAW,WELL_BABY_HOSPITAL,SEA_LEVEL,0,0,1,0,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_01
U_R023,El Idrissi Slitine 2020,Morocco,11,EARLY_LT24H_PREDOMINANT,WELL_BABY_HOSPITAL,NOT_REPORTED,1,0,2,6,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_04 + POST_RERUN_OVERLAY
U_R025,Florez-Munoz 2021,Colombia,3,MIXED_18_48H_RAW,WELL_BABY_HOSPITAL,NOT_REPORTED,1,0,0,0,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,exact count derivable from frozen diagnosis distribution,EXACT,EXACT,EXACT,EXACT,PHASE5_EXTRACTION_BLOCK_01
