unit_id,study_label,country,program_cluster,final_failed,target,denominator,strict,can_u,expanded,noncan,healthy,unknown,strict_prop,expanded_prop,setting,timing,altitude
U_R009,Riede 2010,Germany,,54,6,48,0,36,36,0,12,0,0.0,0.75,MULTICENTER_WELL_BABY,POST_24H,NOT_REPORTED
U_R010,Ewer 2011,United Kingdom,,195,17,178,46,9,55,123,0,0,0.25842697,0.30898876,WELL_BABY_ASYMPTOMATIC,EARLY_LT24H,NOT_REPORTED
U_R017,Jawin 2015,Malaysia,,15,2,13,13,0,13,0,0,0,1.0,1.0,WELL_BABY_HOSPITAL,EARLY_LT24H_RAW,NOT_REPORTED
U_R018,Ozalkaya 2016,Turkey,,7,2,5,0,4,4,1,0,0,0.0,0.8,WELL_BABY_HOSPITAL,POST_24H,NOT_REPORTED
U_R019,van Niekerk 2016,South Africa,,2,1,1,1,0,1,0,0,0,1.0,1.0,WELL_BABY_HOSPITAL,POST24H_PREDOMINANT_RAW,SEA_LEVEL
U_R025,Florez-Munoz 2021,Colombia,,4,1,3,1,0,1,0,2,0,0.33333333,0.33333333,WELL_BABY_HOSPITAL,MIXED_18_48H_RAW,NOT_REPORTED
U_R031,Abu Lehyah 2025,Jordan,,752,40,712,247,98,345,0,367,0,0.34691011,0.48455056,WELL_BABY_HOSPITAL_NICU_EXCLUDED,EARLY_LT24H_PREDOMINANT,NOT_REPORTED
U_R049,Hamilcikan 2018,Turkey,,9,0,9,3,2,5,4,0,0,0.33333333,0.55555556,WELL_BABY_HOSPITAL_NICU_EXCLUDED,MIXED_EARLY_AND_POST24H,NOT_REPORTED
U_R066,Jones 2016,United Kingdom,,23,2,21,21,0,21,0,0,0,1.0,1.0,ASYMPTOMATIC_WELL_NEWBORN_LOCAL_HOSPITAL,MIXED_EARLY_AND_24H,NOT_REPORTED
U_R067,Klausner 2017,United States,,4,0,4,0,4,4,0,0,0,0.0,1.0,MULTICENTER_HOSPITAL_NEWBORNS,POST24H,NOT_REPORTED
U_R071,Cubells 2018,Spain,,5,0,5,2,3,5,0,0,0,0.4,1.0,MULTICENTER_WELL_BABY,POST_24H,NOT_REPORTED
U_R072,Diller 2018,United States,,34,0,34,0,11,11,23,0,0,0.0,0.32352941,TERTIARY_WELL_BABY,POST_24H,NOT_REPORTED
U_R089,Johnson 2014,United States,,1,0,1,0,1,1,0,0,0,0.0,1.0,WELL_BABY_HOSPITAL,UNKNOWN,NOT_REPORTED
U_R093,Cawsey 2016,United Kingdom,,2,0,2,2,0,2,0,0,0,1.0,1.0,OUT_OF_HOSPITAL_HOMEBIRTH,EARLY_LT24H,NOT_REPORTED
U_R099,Tekleab 2019,Ethiopia,,56,0,56,23,0,23,0,33,0,0.41071429,0.41071429,WELL_BABY_HOSPITAL,EARLY_LT24H_PREDOMINANT,HIGH_ALTITUDE_2600M
U_R100,Cloete 2020,New Zealand,,48,3,45,34,0,34,0,11,0,0.75555556,0.75555556,MULTICENTER_WELL_BABY,EARLY_LT24H_PREDOMINANT,NOT_REPORTED
U_R101,Singh & Chen 2022,United Kingdom,,360,5,355,161,2,163,23,169,0,0.45352113,0.45915493,WELL_BABY_POSTNATAL_WARD_NICU_PRE_SCREEN_EXCLUDED,VERY_EARLY_LT12H,NOT_REPORTED
U_R108,Shah 2026,India,,6,1,5,0,1,1,4,0,0,0.0,0.2,WELL_BABY_HOSPITAL,VERY_EARLY_6H,NOT_REPORTED
U_R109,Murni 2022,Indonesia,,10,0,10,0,8,8,2,0,0,0.0,0.8,WELL_BABY_HEALTHY_APPEARING,MIXED_EARLY_AND_POST24H,NOT_REPORTED
U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,Colombia,R125_SIBEN_2020,38,0,38,0,18,18,20,0,0,0.0,0.47368421,WELL_BABY_HOSPITAL,SIBEN_12_24H_OR_PREDISCHARGE,SEA_LEVEL_LT250M
U_R125_ROSARIO_AR,SIBEN Rosario 2020,Argentina,R125_SIBEN_2020,1,0,1,1,0,1,0,0,0,1.0,1.0,WELL_BABY_ROOMING_IN,PREDISCHARGE_NOT_EXACT,NOT_REPORTED
U_NR044,Kumar 2017,India,,14,3,11,3,6,9,2,0,0,0.27272727,0.81818182,WELL_BABY_HOSPITAL_NICU_EXCLUDED,PREDISCHARGE_NOT_EXACT,NOT_REPORTED
U_NR058,Reddy 2018,India,,1,0,1,0,1,1,0,0,0,0.0,1.0,ASYMPTOMATIC_HOSPITAL_BORN,EARLY_LT24H,NOT_REPORTED
