unit_id,study_label,country,program_cluster,total_screened,final_failed,target,denominator,strict,can_u,expanded,noncan,healthy,unknown,strict_prop,expanded_prop,setting,timing,altitude,value_source
U_R006,Meberg 2008,Norway,,50008,324,11,313,32,134,166,147,0,0,0.10223642,0.53035144,MULTICENTER_WELL_NEWBORN,EARLY_FIRST_DAY,NOT_REPORTED,POST_RERUN_OVERLAY
U_R008,de-Wahl Granelli 2009,Sweden,,39821,88,11,77,42,8,50,3,24,0,0.54545455,0.64935065,MULTICENTER_WELL_BABY,PREDISCHARGE_MIXED,NOT_REPORTED,POST_RERUN_OVERLAY
U_R009,Riede 2010,Germany,,41445,54,6,48,0,36,36,0,12,0,0.0,0.75,MULTICENTER_WELL_BABY,POST_24H,NOT_REPORTED,POST_RERUN_OVERLAY
U_R010,Ewer 2011,United Kingdom,,20055,195,18,177,46,8,54,123,0,0,0.25988701,0.30508475,WELL_BABY_ASYMPTOMATIC,EARLY_LT24H,NOT_REPORTED,POST_RERUN_OVERLAY
U_R013,Turska-Kmiec 2012,Poland,,51698,29,5,24,0,15,15,9,0,0,0.0,0.625,MULTICENTER_NEONATAL_UNITS,EARLY_2_24H,NOT_REPORTED,POST_RERUN_OVERLAY
U_R017,Jawin 2015,Malaysia,,5247,15,2,13,13,0,13,0,0,0,1.0,1.0,WELL_BABY_HOSPITAL,EARLY_LT24H_RAW,NOT_REPORTED,LATEST_FROZEN_EXTRACTION_BLOCK
U_R018,Ozalkaya 2016,Turkey,,8208,7,2,5,0,4,4,1,0,0,0.0,0.8,WELL_BABY_HOSPITAL,POST_24H,NOT_REPORTED,POST_RERUN_OVERLAY
U_R019,van Niekerk 2016,South Africa,,1001,2,1,1,1,0,1,0,0,0,1.0,1.0,WELL_BABY_HOSPITAL,POST24H_PREDOMINANT_RAW,SEA_LEVEL,LATEST_FROZEN_EXTRACTION_BLOCK
U_R023,El Idrissi Slitine 2020,Morocco,,8013,15,4,11,6,1,7,2,2,0,0.54545455,0.63636364,WELL_BABY_HOSPITAL,EARLY_LT24H_PREDOMINANT,NOT_REPORTED,POST_RERUN_OVERLAY
U_R025,Florez-Munoz 2021,Colombia,,438,4,1,3,1,0,1,0,2,0,0.33333333,0.33333333,WELL_BABY_HOSPITAL,MIXED_18_48H_RAW,NOT_REPORTED,LATEST_FROZEN_EXTRACTION_BLOCK
U_R031,Abu Lehyah 2025,Jordan,,20482,752,40,712,247,98,345,0,367,0,0.34691011,0.48455056,WELL_BABY_HOSPITAL_NICU_EXCLUDED,EARLY_LT24H_PREDOMINANT,NOT_REPORTED,LATEST_FROZEN_EXTRACTION_BLOCK
U_R036,Arlettaz 2006,Switzerland,,3262,24,5,19,0,18,18,0,0,1,0.0,0.94736842,MULTICENTER_MATERNITY,EARLY_6_12H,NOT_REPORTED,POST_RERUN_OVERLAY
